 ;Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity
976;4.819E-4;0.703;0.041;7.082;3.880;144.462;0.017;2.942;0.340;0.830
977;5.806E-5;0.382;0.021;0.846;3.899;54.462;0.007;4.464;0.224;0.571
978;2.264E-4;0.929;0.020;5.884;3.901;75.964;0.017;1.069;0.935;0.857
979;3.484E-5;0.916;0.010;1.812;3.892;45.000;0.007;1.593;0.628;0.857
980;2.032E-4;0.755;0.026;0.651;3.887;123.690;0.013;2.079;0.481;0.864
981;5.806E-6;1.000;0.003;2.267;3.887;135.000;0.002;1.000;1.000;1.000
982;5.806E-5;1.000;0.011;5.607;3.889;153.435;0.007;1.236;0.809;0.909
983;0.001;0.488;0.060;5.911;3.930;31.759;0.033;1.855;0.539;0.751
984;5.806E-5;0.925;0.013;6.494;3.899;111.801;0.005;2.500;0.400;1.000
985;1.161E-4;1.000;0.014;0.831;3.901;120.964;0.012;1.038;0.963;0.909
986;7.548E-5;0.922;0.014;0.851;3.913;59.036;0.009;1.802;0.555;0.812
987;1.161E-4;1.000;0.015;4.007;3.901;108.435;0.010;1.435;0.697;0.909
988;5.806E-4;0.832;0.036;6.518;3.916;7.595;0.024;1.484;0.674;0.858
989;2.903E-5;1.000;0.009;2.263;3.906;146.310;0.005;1.553;0.644;0.909
990;5.806E-6;1.000;0.003;1.798;3.908;135.000;0.002;1.000;1.000;1.000
991;6.387E-5;1.000;0.012;1.865;3.918;53.130;0.007;1.372;0.729;0.957
992;4.064E-5;1.000;0.010;2.277;3.908;135.000;0.007;1.596;0.626;0.875
993;2.323E-5;1.000;0.008;1.812;3.911;161.565;0.005;1.468;0.681;0.800
994;2.497E-4;0.954;0.021;2.504;3.916;144.462;0.018;1.167;0.857;0.851
995;3.658E-4;0.733;0.029;5.439;3.937;41.634;0.022;1.454;0.688;0.813
996;5.226E-5;0.884;0.011;5.472;3.918;116.565;0.009;1.390;0.720;0.750
997;1.161E-5;1.000;0.005;8.183;3.920;116.565;0.002;2.000;0.500;1.000
998;2.323E-5;0.857;0.008;0.764;3.923;108.435;0.005;1.468;0.681;0.800
999;5.806E-6;1.000;0.003;1.513;3.923;135.000;0.002;1.000;1.000;1.000
1000;1.742E-5;1.000;0.007;0.930;3.930;45.000;0.005;1.464;0.683;0.857
1001;3.948E-4;0.667;0.032;3.812;3.957;77.005;0.022;1.395;0.717;0.834
